repo	classification	git_status_rc	dry_run_rc	apply_rc	status_rc	next_rc	diff_check_rc	paths	notes
/Users/wilycastle/Code/projects/DIVE-2	migrated	0	0	0	0	0	0	Backup: .wily/backups/20260518000825-wily-roadmap-v2; Report: .wily/migrations/20260518000825-wily-roadmap-v2.md; Report: .wily/migrations/20260518000825-wily-roadmap-v2.json	apply succeeded
/Users/wilycastle/Code/projects/Digit	migrated	0	0	0	0	0	0	Backup: .wily/backups/20260518000825-wily-roadmap-v2; Report: .wily/migrations/20260518000825-wily-roadmap-v2.md; Report: .wily/migrations/20260518000825-wily-roadmap-v2.json	apply succeeded
/Users/wilycastle/Code/projects/hwpx	skipped	128	NA	NA	NA	NA	NA		git status failed; skipped because candidate is not usable as a git repository for the required procedure
/Users/wilycastle/Code/projects/wily-plugin/wily-roadmap	migrated	0	0	0	0	0	0	Backup: .wily/backups/20260518000825-wily-roadmap-v2; Report: .wily/migrations/20260518000825-wily-roadmap-v2.md; Report: .wily/migrations/20260518000825-wily-roadmap-v2.json	apply succeeded
/Users/wilycastle/Code/projects/wily-plugin/wily-roadmap/plugins/wily-roadmap/tests/fixtures/migration/already-v2	already v2	0	0	NA	0	0	0		dry-run succeeded; apply skipped because roadmap_schema already equals wily-roadmap-v2 before this run
/Users/wilycastle/Code/projects/wily-plugin/wily-roadmap/plugins/wily-roadmap/tests/fixtures/migration/mixed-legacy	migrated	0	0	0	0	0	0	Backup: .wily/backups/20260518000826-wily-roadmap-v2; Report: .wily/migrations/20260518000826-wily-roadmap-v2.md; Report: .wily/migrations/20260518000826-wily-roadmap-v2.json	apply succeeded
/Users/wilycastle/Code/projects/wily-plugin/wily-roadmap/plugins/wily-roadmap/tests/fixtures/migration/v1-only	migrated	0	0	0	0	0	0	Backup: .wily/backups/20260518000827-wily-roadmap-v2; Report: .wily/migrations/20260518000827-wily-roadmap-v2.md; Report: .wily/migrations/20260518000827-wily-roadmap-v2.json	apply succeeded
